place_ID, name, address, type
258,ChIJS_rlYYsYpEwRmmXgvow4Thw,Domino's Pizza,"170 Main St, Fredericton, NB E3A 1C8",meal_delivery
259,ChIJnfeMG0IipEwR8RbVm6m8w54,Little Caesars Pizza,"1012 Prospect St, Fredericton, NB E3B 3C1",meal_delivery
260,ChIJq6rq1R-1p0wRT8XjA67x7vU,Nourish NB,"1216 Sand Cove Rd, Saint John, NB E3M 5V8",meal_delivery
261,ChIJ8zpFK6cYpEwR4t2AgLrKF64,Science East,"668 Brunswick St, Fredericton, NB E3B 1H6",museum
262,ChIJ00KL1qMYpEwRZvGW2Aogmq8,School Days Museum,"Justice Building Annex, East Entrance, Queen St, Fredericton, NB E3B 5R6",museum
263,ChIJVVWVwQ8ipEwRfTkSVtJFXLM,Quartermain Earth Science Centre,"2 Bailey Dr, Fredericton, NB E3B 5A3",museum
264,ChIJM8AS0qMYpEwRtltF2YrROMA,York-Sunbury Historical Society,"571 Queen St, Fredericton, NB E3B 5C8",museum
265,ChIJq7UyVdUepEwR9RELxrSRYV0,Fabinex,"357 Canada St, Fredericton, NB E3A 4A3",museum
266,ChIJr3x3pBoipEwRXO4pJ2pcdTE,University of New Brunswick: Brydone Jack Observatory Museum,"10 Bailey Dr, Fredericton, NB E3B 2T5",museum
267,ChIJcfprHPcYpEwR8j6p05gKbuI,ASD-W STEAM Expo,"324 Fulton Ave, Fredericton, NB E3A 5J4",museum
268,ChIJdSaQFGmMqkER70XcAtaG38k,The New Brunswick Country Music Hall of Fame,"Inn Complex, 1315 Regent St, Fredericton, NB E3C 1A1",museum
269,ChIJVeDNeaAYpEwR9ftzafPMVak,Guard House & Soldiers' Barracks,"15 Rue Carleton St, Fredericton, NB E3B 3T1",museum
270,ChIJy51VL6IYpEwRc_9N1kj8HbE,New Brunswick Sports Hall of Fame,"503 Queen St, Fredericton, NB E3B 5H1",museum
271,ChIJBXWBdlybpkwRGyHxEqg17Ns,Canadian Military Engineers Museum,"Mitchell Building (J-10) CFB/ASG Gagetown Main Gate, corner of Turner &, 699 Champlain St, Oromocto, NB",museum
272,ChIJAy6FdDuHpkwRVchoAz6TzIo,Currie House Museum,"110 Currie Ln, Fredericton Junction, NB E5L 1X7",museum
273,ChIJufY3DqI-pEwRKZ6-yE-r6SQ,Douglas-Bright War Memorial,"Keswick Ridge, NB",museum
274,ChIJX1ptsR4_pEwR1L7D9RfHnY8,Keswick Ridge Historical Society,"112 NB-616, Keswick Ridge, NB E6L 1R8",museum
275,ChIJqVLDlYI-pEwRAKuauX_vlIk,Power Plant Tour,"451 Power House Ln, Keswick Ridge, NB E6L 1A8",museum
276,ChIJWR0DVNs5pEwRdt7i5Tf1zk8,"Kings Landing, New Brunswick","5804 Route 102, 5804 NB-102, Prince William, NB E6K 0A5",museum
277,ChIJMw9kY7Puo0wRXJum0P_AnX4,Central NB Woodmen's Museum Inc,"6342 NB-8, Boiestown, NB E6A 1Z5",museum
278,ChIJWRlo6Zi0p0wR3_qoGtXS8Dg,New Brunswick Museum Archives,"277 Douglas Ave, Saint John, NB E2K 1E5",museum
279,ChIJbbQODJfEo0wRU7XK3QogXS8,Atlantic Salmon Museum Inc,"263 Main St, Doaktown, NB E9C 1A9",museum
280,ChIJjaDf0cQ5pEwRgebrp0LHP4o,The Print Shop,"Kings Landing, NB",museum
